img_feature_pred_1,img_feature_pred_2,img_feature_pred_3,Sentiment_Score,hour,num_words,thumbnail_height,web_site,envelope,library,comic_book,menu,jigsaw_puzzle,scoreboard,monitor,screen,digital_clock,mountain_bike,book_jacket,dank_or_not
0.05935011,0.047493964,0.034131162,0.48,2,1,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.5,12,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.067652605,0.06469549,0.056321584,0.5,16,2,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.9843156,0.0043508904,0.0033883443,0.1,14,6,131.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.86468834,0.029700553,0.0038205122,0.46,6,6,121.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.49124536,0.35316932,0.030455595,0.42,19,1,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.43,1,2,114.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.61,14,1,116.0,1,0,0,0,0,0,1,0,0,1,0,0,1
0.2548853,0.11270729,0.08078633,0.43,5,5,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15512986,0.113355905,0.05230478,0.44,13,4,78.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.13441245,0.075930186,0.052958675,0.41,13,4,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.31,23,2,136.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.980164,0.0050394693,0.0036381178,0.41,8,3,140.0,1,1,0,0,0,0,0,1,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.5,6,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.19314185,0.12112373,0.083764605,0.18,21,9,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.856172,0.019027187,0.018234247,0.41,13,8,140.0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.5250922,0.09270354,0.03290667,0.5,3,3,101.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.69298255,0.088538826,0.04044038,0.4,12,0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.3,10,2,110.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.36717233,0.20143843,0.13626523,0.6,16,2,139.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.33038518,0.2464779,0.08434807,0.45,5,6,140.0,1,0,0,1,0,1,0,0,0,0,0,0,0
0.56772935,0.07762793,0.057463884,0.5,15,3,114.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9966732,0.00061555015,0.00052378554,0.38,1,15,140.0,1,0,0,0,0,0,0,1,1,0,0,0,0
0.16363436,0.11927518,0.1062602,0.42,17,7,140.0,1,0,0,1,0,0,1,0,0,0,0,0,1
0.09636846,0.038172778,0.033951815,0.49,11,8,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.245253,0.12678075,0.057231717,0.18,13,5,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15088871,0.10654717,0.102219544,0.43,5,4,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.44080868,0.2192023,0.16615391,0.49,12,2,122.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.42,8,2,139.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.8461734,0.017202066,0.014425529,0.46,14,2,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.59,0,2,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.66260153,0.17130423,0.0765716,0.28,8,3,102.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.3301268,0.28582627,0.108563386,0.51,23,9,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25574487,0.18078612,0.1009709,0.51,10,5,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.49,16,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.7,12,0,138.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.20935129,0.10115364,0.078100346,0.55,18,2,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.4618156,0.22988729,0.08311297,0.49,17,8,140.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.9310963,0.03616969,0.0067231287,0.61,23,9,111.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.5,10,4,105.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.38915265,0.097291686,0.072621375,0.5,15,5,110.0,1,0,0,1,0,0,0,0,0,0,0,1,1
0.05935011,0.047493964,0.034131162,0.49,3,5,139.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.43,22,1,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.27739918,0.1303737,0.06938076,0.5,12,3,140.0,0,1,0,1,0,0,0,0,0,0,0,1,0
0.114518836,0.049437188,0.035326984,0.47,20,0,93.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.49,4,0,74.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.101776384,0.06559597,0.05984985,0.42,4,3,99.0,0,0,0,1,0,0,0,0,0,0,1,0,0
0.28068095,0.09141797,0.040243667,0.45,18,7,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.4853165,0.13753006,0.11281714,0.45,20,5,67.0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.27932075,0.19540091,0.09712952,0.55,20,4,140.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.9552573,0.0036255468,0.0026446765,0.42,16,3,87.0,1,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.45,12,0,132.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.24523355,0.065749995,0.04584317,0.49,16,1,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.32544333,0.030960323,0.019238155,0.51,22,12,140.0,1,1,0,0,0,0,0,0,0,0,0,0,0
0.19250233,0.16169652,0.16104662,0.45,10,7,140.0,0,0,0,1,1,0,0,0,0,0,0,0,0
0.45907772,0.1340417,0.0751675,0.41,1,5,78.0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.10925033,0.06958573,0.051920906,0.63,10,1,140.0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.16722497,0.05205792,0.044778038,0.21,1,3,113.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.42,12,1,135.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.128644,0.080593735,0.060467932,0.43,21,6,140.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.25565332,0.22032222,0.09823395,0.5,13,3,131.0,1,0,0,1,0,0,0,0,0,0,0,0,0
0.9988399,0.0004398044,0.00019771559,0.18,11,16,140.0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.57,12,1,138.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.10898993,0.079973795,0.056749243,0.3,13,2,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2900669,0.11810893,0.047239378,0.44,10,9,140.0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.93061507,0.026002578,0.022295402,0.69,12,7,140.0,1,0,0,1,1,0,0,0,0,0,0,0,0
0.23648891,0.19690087,0.090878665,0.49,9,3,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.45,8,1,137.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.22654463,0.07375277,0.04873074,0.72,11,3,120.0,0,0,0,0,0,0,0,0,0,0,0,1,0
0.32052928,0.15631141,0.04060703,0.42,7,3,79.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.62,18,1,70.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.49,1,1,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.39,14,1,139.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.57337576,0.066356294,0.044409335,0.31,19,3,104.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.5,15,2,125.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.3163609,0.18187274,0.07654095,0.5,21,1,91.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05935011,0.047493964,0.034131162,0.41,12,1,102.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.49,3,0,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.05935011,0.047493964,0.034131162,0.31,20,4,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.4426567,0.15480892,0.11678594,0.49,17,1,140.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.05935011,0.047493964,0.034131162,0.71,16,3,140.0,1,0,0,0,0,0,1,0,0,1,0,0,0
0.12201433,0.12178793,0.06419921,0.31,12,5,114.0,1,0,0,0,0,0,0,0,0,0,0,1,0
0.22491097,0.22151339,0.11885569,0.57,21,6,140.0,0,1,0,0,1,1,0,0,0,0,0,0,0
0.9804104,0.0076672724,0.007040295,0.5,1,6,140.0,1,0,0,1,0,0,0,0,0,0,0,1,0
0.2190222,0.065392904,0.06320569,0.3,9,4,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58234376,0.11355688,0.0551317,0.44,9,2,140.0,1,0,0,0,0,0,0,1,0,0,0,0,0
